title,rating,description,air_date
S1.E11 ∙ The One with Mrs. Bing,8.0/10 (6.2K),"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.","Thu, Jan 5, 1995"
S1.E12 ∙ The One with the Dozen Lasagnas,8.0/10 (6.1K),Rachel and Paolo's relationship hits a snag when he makes a pass at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,"Thu, Jan 12, 1995"
S1.E13 ∙ The One with the Boobies,8.5/10 (6.5K),Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,"Thu, Jan 19, 1995"
S1.E14 ∙ The One with the Candy Hearts,8.1/10 (6K),"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.","Thu, Feb 9, 1995"
S1.E15 ∙ The One with the Stoned Guy,8.1/10 (6.1K),"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.","Thu, Feb 16, 1995"
S1.E16 ∙ The One with Two Parts: Part 1,8.0/10 (6K),Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,"Thu, Feb 23, 1995"
S1.E17 ∙ The One with Two Parts: Part 2,8.3/10 (6.1K),"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.","Thu, Feb 23, 1995"
S1.E18 ∙ The One with All the Poker,8.7/10 (6.7K),"As Rachel interviews for a new job, the girls take on the guys in a game of poker.","Thu, Mar 2, 1995"
S1.E19 ∙ The One Where the Monkey Gets Away,7.9/10 (5.8K),The gang frantically search for Ross's monkey Marcel after Rachel loses him.,"Thu, Mar 9, 1995"
S1.E20 ∙ The One with the Evil Orthodontist,7.7/10 (5.8K),"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.","Thu, Apr 6, 1995"
S1.E21 ∙ The One with the Fake Monica,7.6/10 (5.9K),Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,"Thu, Apr 27, 1995"
S1.E22 ∙ The One with the Ick Factor,8.1/10 (5.8K),Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,"Thu, May 4, 1995"
